Study,Subject,Group,Session,Metric,Metric_value,State
SRM,084,SRM,t2,bad_by_ransac,1,before_interpolation
SRM,085,SRM,t1,bad_all,7,before_interpolation
SRM,085,SRM,t2,bad_by_nan,0,after_interpolation
SRM,086,SRM,t1,bad_by_flat,0,after_interpolation
SRM,087,SRM,t1,bad_by_deviation,0,after_interpolation
SRM,087,SRM,t2,bad_by_hf_noise,0,after_interpolation
SRM,088,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,089,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,090,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,091,SRM,t1,bad_by_ransac,2,after_interpolation
SRM,091,SRM,t2,bad_all,2,after_interpolation
SRM,092,SRM,t1,bad_by_nan,0,original
SRM,093,SRM,t1,bad_by_flat,0,original
SRM,094,SRM,t1,bad_by_deviation,0,original
SRM,094,SRM,t2,bad_by_hf_noise,2,original
SRM,095,SRM,t1,bad_by_correlation,1,original
SRM,096,SRM,t1,bad_by_SNR,0,original
SRM,097,SRM,t1,bad_by_dropout,0,original
SRM,097,SRM,t2,bad_by_ransac,0,original
SRM,098,SRM,t1,bad_all,3,original
SRM,099,SRM,t1,bad_by_nan,0,before_interpolation
SRM,100,SRM,t1,bad_by_flat,0,before_interpolation
SRM,101,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,101,SRM,t2,bad_by_hf_noise,1,before_interpolation
SRM,102,SRM,t1,bad_by_correlation,1,before_interpolation
SRM,103,SRM,t1,bad_by_SNR,0,before_interpolation
SRM,104,SRM,t1,bad_by_dropout,0,before_interpolation
SRM,104,SRM,t2,bad_by_ransac,0,before_interpolation
SRM,105,SRM,t1,bad_all,2,before_interpolation
SRM,105,SRM,t2,bad_by_nan,0,after_interpolation
SRM,106,SRM,t1,bad_by_flat,0,after_interpolation
SRM,106,SRM,t2,bad_by_deviation,0,after_interpolation
SRM,107,SRM,t1,bad_by_hf_noise,0,after_interpolation
SRM,108,SRM,t1,bad_by_correlation,0,after_interpolation
SRM,109,SRM,t1,bad_by_SNR,0,after_interpolation
SRM,110,SRM,t1,bad_by_dropout,0,after_interpolation
SRM,110,SRM,t2,bad_by_ransac,0,after_interpolation
SRM,111,SRM,t1,bad_all,0,after_interpolation
SRM,001,SRM,t1,bad_by_nan,0,original
SRM,002,SRM,t1,bad_by_flat,0,original
SRM,002,SRM,t2,bad_by_deviation,0,original
SRM,003,SRM,t1,bad_by_hf_noise,2,original
SRM,003,SRM,t2,bad_by_correlation,5,original
SRM,004,SRM,t1,bad_by_SNR,1,original
SRM,005,SRM,t1,bad_by_dropout,0,original
SRM,005,SRM,t2,bad_by_ransac,2,original
SRM,006,SRM,t1,bad_all,8,original
SRM,007,SRM,t1,bad_by_nan,0,before_interpolation
SRM,007,SRM,t2,bad_by_flat,0,before_interpolation
SRM,008,SRM,t1,bad_by_deviation,0,before_interpolation
SRM,009,SRM,t1,bad_by_hf_noise,3,before_interpolation
SRM,010,SRM,t1,bad_by_correlation,4,before_interpolation
